Item #, Item Description, MSP, Retail Price, Dealer Price, Sale Price, Sale Ends, Quantity, UPC Code, Manufacturer, Gun Type, Model Series, Caliber, Action, Capacity, Finish,Stock, Sights, Barrel Length, Overall Length, Features
GERGMP409X,ATA GSG MP40P PST 9MM 10B 25R,$479.95,$669.95,$479.95,,,0,#853267007851#,American Tactical Inc,Pistol: Semi-Auto,GSG MP40P,9MM,Semi-Automatic,25+1,Black,,FT: Hooded Post RR: Adjustable Blade,9.96,24.5,All Metal Magazine
ATIGOMX556MP4,ATA OMNI MAXX HYB P4 5.56 7.5B,$354.95,$469.95,$354.95,,,0,#819644025610#,American Tactical Inc,Pistol: Semi-Auto,Omni,5.56 NATO|223,Semi-Automatic,30+1,Black,7 Buffer Tube,No Sights,7.5 Black Phosphate Coated Barrel / 1-7 Twist,23,Beveled Mag Well/7 MLOK Handguard
ATIGOMX556FDE15,ATA OMNIMAX P3 5.56 16B DDE DE,$429.99,$550.00,$429.99,,,21,#819644023630#,American Tactical Inc,Rifle: Semi-Auto,Omni,5.56 NATO|223,Semi-Automatic,30+1,Davidson's Dark Earth,Black 6 Position Stock with Pistol Grip,No Sights,16 M4 Nitride Coated Barrel/ 1-8 Twist,31.25 to 34.875,Davidson's Exclusive /Beveled Mag Well
ATIGOMX55615D,ATA OMNI MAXX P3 5.56 16B DE,$429.99,$550.00,$429.99,,,0,#819644024057#,American Tactical Inc,Rifle: Semi-Auto,Omni,5.56 NATO|223,Semi-Automatic,30+1,Black,Black 6 Position Stock with Pistol Grip,No Sights,16 M4 Nitride Coated Barrel/ 1-8 Twist,31.25 to 34.875,Davidson's Exclusive /Beveled Mag Well
ATIGOMX556MP3PF,ATA OMNI MAXX P3P 5.56 16B FDE,$369.95,$489.95,$369.95,,,0,#819644025535#,American Tactical Inc,Rifle: Semi-Auto,Omni,5.56 NATO|223,Semi-Automatic,30+1,FDE,6 Position Stock with Pistol Grip,No Sights,16 M4 Nitride Coated Barrel/ 1-8 Twist,31.25 to 34.875,Beveled Mag Well
ATIG15MS410G2,ATA MILSPORT SA SHT 410/18 5R,$409.95,$549.95,$409.95,,,0,#819644029243#,American Tactical Inc,Shotgun: Semi-Auto,Mil-Sport,410 Gauge,Semi-Automatic,5+1,Black,6 Position Rogers Super Stoc with Pistol Grip,No Sights,18.5 Outside Threads,,13 KeyMod Handguard
ATIG12BDB,ATA BULL-DOG SA 12M/16 5RD,$329.95,$439.95,$329.95,,,0,#819644026037#,American Tactical Inc,Shotgun: Semi-Auto,Bull-Dog,12 Gauge,Semi-Automatic,5+1  Detachable Magazine,Black,Black Polymer Bull Pup,FT:Adjustable Post Rr:Adjustable,18.5,29.5,Picatinny Rail Systems /Adjustable Cheek Rest
ATIG15MS556MLP3,ATA MIL-SPORT P3P 5.56 16B,$399.95,$529.95,$399.95,,,0,#819644025290#,American Tactical Inc,Rifle: Semi-Auto,Mil-Sport,5.56 NATO|223,Semi-Automatic,30+1,Black,6 Position TactLite,No Sights,16 M4 Nitride Coated Barrel/ 1-8 Twist,31.25 to 34.875,Beveled Mag Well
ATIGLOWMS,ATA AR-15 MILSPT LOWER RECVR,$41.95,$54.95,$41.95,,,73,#892756002687#,American Tactical Inc,AR Lower: Receiver Only,Mil-Sport,5.56 NATO|223,Semi-Automatic,,Black,,,,,This Is A Lower Receiver Only
GERGGSG1622,ATA GSG-16 CARB 22LR SYN 22RD,$299.95,$419.95,$299.95,,,0,#819644021476#,American Tactical Inc,Rifle: Semi-Auto,GSG-16 German Sport Carbine,22LR,Semi-Automatic,22+1,Matte Black,Black Synthetic Stock with Pistol Grip,Peep Rear/ Front Post Sight,16.28,34.18,Faux Suppressor/10 MLOK Style Hand Guard/
GERGGSG1622ML,ATA GSG-16 CARB 22LR MLOK 22RD,$299.95,$419.95,$299.95,,,0,#819644025740#,American Tactical Inc,Rifle: Semi-Auto,GSG-16 German Sport Carbine,22LR,Semi-Automatic,22+1,Matte Black,Black Synthetic Stock with Pistol Grip,Peep Rear/ Front Post Sight,16.28 Faux Suppressor,34.18,Faux Suppressor/10 MLOK Style Hand Guard/
GERGGSG1622G,ATA GSG-16 CARB 22LR 22RD ODG,$299.95,$419.95,$299.95,,,0,#819644025122#,American Tactical Inc,Rifle: Semi-Auto,GSG-16 German Sport Carbine,22LR,Semi-Automatic,22+1,OD Green,OD Green Synthetic Stock with Pistol Grip,Peep Rear/ Front Post Sight,16.28,34.18,Faux Suppressor/10 MLOK Style Hand Guard
GERGGSG1622T,ATA GSG-16 CARB 22LR 22RD FDE,$299.95,$419.95,$299.95,,,0,#819644025139#,American Tactical Inc,Rifle: Semi-Auto,GSG-16 German Sport Carbine,22LR,Semi-Automatic,22+1,Flat Dark Earth,Flat Dark Earth Synthetic Stock w/ Pistol Grip,Peep Rear/ Front Post Sight,16.28,34.18,Faux Suppressor/10 MLOK Style Hand Guard
GERGGSG1622S,ATA GSG-16 CARB 22LR 22RD GRAY,$299.95,$419.95,$299.95,,,0,#819644027072#,American Tactical Inc,Rifle: Semi-Auto,GSG-16 German Sport Carbine,22LR,Semi-Automatic,22+1,Smoke Gray,Smoke Gray Synthetic Stock with Pistol Grip,Peep Rear/ Front Post Sight,16.28,34.18,Faux Suppressor/10 MLOK Style Hand Guard
ATIG12NMD18,ATA NOMAD SNGSHT 12GA 18.5B,$79.95,$109.95,$79.95,,,0,#819644021551#,American Tactical Inc,Shotgun: Single Shot,Nomad,12 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,18.5,33.5,
ATIG12NMD28,ATA NOMAD SNGSHT 12GA 28B,$79.95,$109.95,$79.95,,,0,#819644021568#,American Tactical Inc,Shotgun: Single Shot,Nomad,12 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,28,43.5,
ATIG20NMD18,ATA NOMAD SNGSHT 20GA 18.5B,$79.95,$109.95,$79.95,,,0,#819644021575#,American Tactical Inc,Shotgun: Single Shot,Nomad,20 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,18.5,31.5,
ATIG20NMD26,ATA NOMAD SNGSHT 20GA 26B,$79.95,$109.95,$79.95,,,0,#819644021582#,American Tactical Inc,Shotgun: Single Shot,Nomad,20 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,26,41.5,
ATIG410NMD18,ATA NOMAD SNGSHT410GA 18.5B,$79.95,$109.95,$79.95,,,0,#819644021599#,American Tactical Inc,Shotgun: Single Shot,Nomad,410 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,18.5,31.5,
ATIG410NMD26,ATA NOMAD SNGSHT410GA 26B,$79.95,$109.95,$79.95,,,0,#819644021605#,American Tactical Inc,Shotgun: Single Shot,Nomad,410 Gauge,Single Shot,1,Blue,Black Synthetic,Bead,26,41.5,
ATIG12NMD23C,ATA NOMAD TRKY SNSHT 12GA 23B,$119.95,$169.95,$119.95,,,8,#819644024392#,American Tactical Inc,Shotgun: Single Shot,Nomad,12 Gauge,Single Shot,1,Matte Black,Camo,Fiber Optic Front,23 Vent Ribbed,39,Picatinny Rail Saddle Mount
ATIG20NMD23C,ATA NOMAD TRKY SNSHT 20GA 23B,$119.95,$169.95,$119.95,,,0,#819644024408#,American Tactical Inc,Shotgun: Single Shot,Nomad,20 Gauge,Single Shot,1,Matte Black,Camo,Fiber Optic Front,23 Vent Ribbed,39,Picatinny Rail Saddle Mount
ATIG410NMD23C,ATA NOMAD TRKY SNSHT 410GA 23B,$119.95,$169.95,$119.95,,,0,#819644024415#,American Tactical Inc,Shotgun: Single Shot,Nomad,410 Gauge,Single Shot,1,Matte Black,Camo,Fiber Optic Front,23 Vent Ribbed,39,Picatinny Rail Saddle Mount
ATIGKOF12SVE,ATA CAVALRY SX 12M/28MC OU WAL,$479.95,$639.95,$479.95,,,19,#813393016134#,American Tactical Inc,Shotgun: Over and Under,Cavalry,12 Gauge,Over & Under,2,Blue,Walnut,Ft: Brass Bead,28,45.5,Chrome Lined Barrel/Ejectors
ATIGKOF12SVE30,ATA CAVALRY SX 12M/30MC OU WAL,$479.95,$639.95,$479.95,,,10,#819644027270#,American Tactical Inc,Shotgun: Over and Under,Cavalry,12 Gauge,Over & Under,2,Blue,Walnut,Ft: Brass Bead,30,47.5,Chrome Lined Barrel/Ejectors
ATIGKOF20SVE,ATA CAVALRY SX 20M/26MC OU WAL,$479.95,$639.95,$479.95,,,8,#813393016141#,American Tactical Inc,Shotgun: Over and Under,Cavalry,20 Gauge,Over & Under,2,Blue,Walnut,Ft: Brass Bead,26,43.5,Chrome Lined Barrel/Ejectors
ATIGKOF410SVE,ATA CAVALRYSX 410M/26MC OU WAL,$479.95,$639.95,$479.95,,,6,#813393016158#,American Tactical Inc,Shotgun: Over and Under,Cavalry,410 Gauge,Over & Under,2,Blue,Walnut,Ft: Brass Bead,26,43.5,Chrome Lined Barrel/Ejectors
ATIG12SC26PW,ATA SCOUT SGP SHTGN 12M/26MC,$199.95,$259.95,$199.95,,,0,#819644026792#,American Tactical Inc,Shotgun: Pump Action,SGP P-Series,12 Gauge,Pump Action,3+1,Matte Black,Walnut Stock w/Checkering,Front : Red Fiber Optic,26,,
ATIG12SC26PP,ATA SCOUT SGP SHT 12M/26MC SYN,$179.95,$229.95,$179.95,,,0,#819644026839#,American Tactical Inc,Shotgun: Pump Action,SGP P-Series,12 Gauge,Pump Action,3+1,Matte Black,Black Polymer Stock,Front : Red Fiber Optic,26,,
ATIG20SC26PP,ATA SCOUT SGP SHT 20M/26MC SYN,$179.95,$229.95,$179.95,,,0,#819644026846#,American Tactical Inc,Shotgun: Pump Action,SGP P-Series,20 Gauge,Pump Action,3+1,Matte Black,Black Polymer,Front : Red Fiber Optic,26,,
ATIM410GA5,ATA MAG ATI 410 MAG 5RD,$16.95,$20.95,$16.95,,,0,#813393019036#,American Tactical Inc,,,410 Gauge,,5,,,,,,Speed Loader Included
ATIM410GA15,ATA MAG ATI 410 MAG 15RD,$23.95,$30.95,$23.95,,,0,#813393019043#,American Tactical Inc,,,410 Gauge,,15,,,,,,Speed Loader Included
GERMM1911,ATA MAG GSG 1911/922 22LR 10RD,$19.95,$34.95,$19.95,,,0,#813393012655#,American Tactical Inc,,,22LR,,10,,,,,,
GERMFF10,ATA MAG GSG FIREFLY 22LR 10RD,$19.95,$34.95,$19.95,,,0,#813393019579#,American Tactical Inc,,,22LR,,10,,,,,,
GERMMP40925,ATA MAG GSG MP-40 9MM 25RD,$39.95,$54.95,$39.95,,,0,#813393019722#,American Tactical Inc,,,9MM,,25,,,,,,
GERMGSG16TP22,ATA MAG GSG-16 2PK 22LR 22RD,$29.95,$49.95,$29.95,,,0,#819644022862#,American Tactical Inc,,,22LR,,22,,,,,,2 Pack
ATIM12BD5,ATA BULLDOG MAG 12GA 5RD,$18.95,$27.95,$18.95,,,13,#819644026679#,American Tactical Inc,,,12 Gauge,,5,,,,,,
ATIM12BD10,ATA BULLDOG MAG 12GA 10RD,$24.95,$39.95,$24.95,,,0,#819644026273#,American Tactical Inc,,,12 Gauge,,10,,,,,,
ATIARWRENCH2D,ATA WRENCH ARMORER TOOL AR15 2,$23.95,$34.95,$23.95,,,0,#819644027348#,American Tactical Inc,,,,,,Non-Slip Finish/Carbon Steel Construction,,,,,Features a Castle Nut Wrench
ATINSGLOLF,ATA NSITES GLK G17/22 GRN/GRN,$47.95,$69.95,$47.95,,,0,#819644023050#,American Tactical Inc,,,,,,,,,,,Fits Glock Gen 1-5 (Excluding MOS Versions)
ATIDUOSIGHT,ATA SIGHT TACT ELECTRO DUO,$34.95,$49.95,$34.95,,,0,#813393011634#,American Tactical Inc,,,,,,Matte Black,,,,3,Four Reticles: Star/ Cross/ Dot and Bullseye
GFT-114,AMG FIBER COMBO SIGHT GREEN,$29.49,$50.00,$29.49,,,1,#644406904465#,Ameriglo,,,,,,,,,,,
GL-113,AMG NSITES CLS G17/22 GRN/GRN,$58.49,$99.00,$58.49,,,0,#644406900283#,Ameriglo,,,,,,,,,,,Only Fits Gen 1-4
GL-119,AMG NSITES CLS G21/36 GRN/GRN,$58.49,$99.00,$58.49,,,0,#644406900344#,Ameriglo,,,,,,,,,,,
SW-145,AMG NSITES CLS S&W SHL GRN/GRN,$58.49,$99.00,$58.49,,,1,#644406905998#,Ameriglo,,,,,,,,,,,Fits S&W M&P Shield
GL-430,AMG NSITES CLS GLK 43 GRN/GRN,$58.49,$99.00,$58.49,,,0,#644406908746#,Ameriglo,,,,,,,,,,,
GL-433,AMG NSITES HCKTHRN GLK 17/19,$47.49,$80.00,$47.49,,,2,#644406903246#,Ameriglo,,,,,,,,,,,Fits Glock Gen 1-4 17/19/22/23/26/27/34/35
GL-434,AMG NSITES HCKTHRN GLK 21/41,$47.49,$80.00,$47.49,,,2,#644406903253#,Ameriglo,,,,,,,,,,,Fits Glock Gen 1-4 20/21/29/30/31/32/36/40/41
GL-436,AMG NSITES HCKTHRN GLK 42/43X,$47.49,$80.00,$47.49,,,2,#644406908807#,Ameriglo,,,,,,,,,,,Fits Glock 42/43/43X/48
GL-5433,AMG NSITES HCKTHRN GLK GEN 5,$47.49,$80.00,$47.49,,,0,#644406911036#,Ameriglo,,,,,,,,,,,Fits Glock Gen 5 17/19/19X/26/45
SW-443,AMG NSITES HCKTHRN S&W M&P SHL,$47.49,$80.00,$47.49,,,1,#644406906575#,Ameriglo,,,,,,,,,,,Fits S&W M&P Shield
GL-816,AMG NSITES TROOPER GLK 17/19,$70.59,$120.00,$70.59,,,2,#644406911302#,Ameriglo,,,,,,,,,,,Fits Glock Gen 1-4 17/19/22/23/26/27/34/35
GL-817,AMG NSITES TROOPER GLK 21 ORG,$70.59,$120.00,$70.59,,,2,#644406911319#,Ameriglo,,,,,,,,,,,Fits Glock Gen 1-4 20/21/29/30/31/32/36/40/41
GL-818,AMG NSITES TROOPER GLK G517/19,$70.59,$120.00,$70.59,,,0,#644406911326#,Ameriglo,,,,,,,,,,,Fits Glock Gen 5 17/19/19X/26/45
